country_iso3,year,gdp_growth,inflation,unemployment,fdi_pct_gdp,country_name,country_iso2,currency,weather_disruption_index,gdelt_risk_event_count,trade_import_value,population,macro_score,inflation_score,political_score,weather_score,news_score,trade_score,fdi_score,final_risk_score,risk_label
DEU,2020,-4.13191443239947,0.144877925813982,3.881,4.48523547812751,Germany,DE,EUR,3.948166666666667,,,83160871.0,85,25,25,48.689,55,60,45,49.1,Moderate risk
DEU,2021,3.90999994204108,3.06666666666673,3.594,2.93002168676674,Germany,DE,EUR,3.948166666666667,,,83196078.0,45,25,25,48.689,55,60,45,41.9,Moderate risk
DEU,2022,1.8092581243061,6.87257438551097,3.137,1.82269397984058,Germany,DE,EUR,3.948166666666667,,,83177813.0,65,50,25,48.689,55,60,65,51.9,Moderate risk
DEU,2023,-0.869647578573321,5.94643667725823,3.071,1.99210813981277,Germany,DE,EUR,3.948166666666667,,,83287273.0,85,50,25,48.689,55,60,65,55.5,Moderate risk
DEU,2024,-0.495851897260366,2.2564981433876,3.4,1.33680512940413,Germany,DE,EUR,3.948166666666667,,,83516593.0,85,25,25,48.689,55,60,65,51.5,Moderate risk
DEU,2025,0.239578342117881,2.17178770949721,3.711,,Germany,DE,EUR,3.948166666666667,,,83491249.0,65,25,25,48.689,55,60,55,46.7,Moderate risk
IDN,2020,-2.06551182934165,1.91983527270793,4.255,1.81058402027127,Indonesia,ID,IDR,0.9754400000000001,,,274814866.0,85,25,25,30.85264,55,60,65,50.07,Moderate risk
IDN,2021,3.70288562827751,1.56007882983334,3.827,1.7878556314554,Indonesia,ID,IDR,0.9754400000000001,,,276758053.0,45,25,25,30.85264,55,60,65,42.87,Moderate risk
IDN,2022,5.30719722664799,4.20946463714784,3.462,1.87264100861425,Indonesia,ID,IDR,0.9754400000000001,,,278830529.0,25,50,25,30.85264,55,60,65,43.27,Moderate risk
IDN,2023,5.04883117855516,3.66938654859761,3.308,1.57116966408747,Indonesia,ID,IDR,0.9754400000000001,,,281190067.0,25,25,25,30.85264,55,60,65,39.27,Moderate risk
IDN,2024,5.03257477088519,2.18151273615189,3.301,1.73855290316368,Indonesia,ID,IDR,0.9754400000000001,,,283487931.0,25,25,25,30.85264,55,60,65,39.27,Moderate risk
IDN,2025,5.10808904438025,1.9133344329508,3.237,,Indonesia,ID,IDR,0.9754400000000001,,,285721236.0,25,25,25,30.85264,55,60,55,38.07,Moderate risk
IND,2020,-5.77772470687303,6.6234367762853,7.859,2.40620322673636,India,IN,INR,2.481226666666667,,,1402617695.0,85,50,50,39.88736,55,60,45,56.89,Moderate risk
IND,2021,9.68959249191741,5.13140747176364,6.38,1.41217101040888,India,IN,INR,2.481226666666667,,,1414203896.0,25,50,50,39.88736,55,60,65,48.49,Moderate risk
IND,2022,7.6093649776932,6.69903414079858,4.822,1.53665241748393,India,IN,INR,2.481226666666667,,,1425423212.0,25,50,25,39.88736,55,60,65,43.99,Moderate risk
IND,2023,7.210224629335,5.64914318907925,4.172,0.802254995836756,India,IN,INR,2.481226666666667,,,1438069596.0,25,50,25,39.88736,55,60,65,43.99,Moderate risk
IND,2024,7.09927893176518,4.95303550973661,4.173,0.721648483526777,India,IN,INR,2.481226666666667,,,1450935791.0,25,50,25,39.88736,55,60,65,43.99,Moderate risk
IND,2025,7.56666179284244,2.39884954182294,4.219,,India,IN,INR,2.481226666666667,,,1463865525.0,25,25,25,39.88736,55,60,55,38.79,Moderate risk
MEX,2020,-8.35403459379062,3.39683415570006,4.44,2.81400875229273,Mexico,MX,MXN,1.9910666666666668,,,126799054.0,85,25,25,36.9464,55,60,45,48.16,Moderate risk
MEX,2021,6.04848347173572,5.68920847683753,4.019,2.70530313479407,Mexico,MX,MXN,1.9910666666666668,,,127648148.0,25,50,25,36.9464,55,60,45,41.36,Moderate risk
MEX,2022,3.70975708309098,7.8962761916855,3.256,2.67267286267437,Mexico,MX,MXN,1.9910666666666668,,,128613117.0,45,50,25,36.9464,55,60,45,44.96,Moderate risk
MEX,2023,3.1067964131456,5.52796087314389,2.765,1.7099038174861,Mexico,MX,MXN,1.9910666666666668,,,129739759.0,45,50,25,36.9464,55,60,65,47.36,Moderate risk
MEX,2024,1.35057631384696,4.72225588452932,2.678,2.48429388161511,Mexico,MX,MXN,1.9910666666666668,,,130861007.0,65,50,25,36.9464,55,60,45,48.56,Moderate risk
MEX,2025,0.561683456144578,3.80668650726485,2.673,,Mexico,MX,MXN,1.9910666666666668,,,131946900.0,65,25,25,36.9464,55,60,55,45.76,Moderate risk
VNM,2020,2.86541320912272,3.22093436652515,2.103,4.55836196782424,Vietnam,VN,VND,1.9303733333333337,,,,45,25,25,36.58224,55,60,45,40.93,Moderate risk
VNM,2021,2.55372852648131,1.83471554810462,2.383,4.27314566190187,Vietnam,VN,VND,1.9303733333333337,,,,45,25,25,36.58224,55,60,45,40.93,Moderate risk
VNM,2022,8.53750041218142,3.15650749963112,1.57,4.32947308910883,Vietnam,VN,VND,1.9303733333333337,,,,25,25,25,36.58224,55,60,45,37.33,Moderate risk
VNM,2023,4.97865959483225,3.25289282667662,1.645,4.26458856546888,Vietnam,VN,VND,1.9303733333333337,,,,45,25,25,36.58224,55,60,45,40.93,Moderate risk
VNM,2024,7.03955197123018,3.62109273885844,1.602,4.23450755062236,Vietnam,VN,VND,1.9303733333333337,,,,25,25,25,36.58224,55,60,45,37.33,Moderate risk
VNM,2025,8.01882998978245,3.3099931421974,1.523,,Vietnam,VN,VND,1.9303733333333337,,,,25,25,25,36.58224,55,60,55,38.53,Moderate risk
